Metric,Value
Stock,RELIANCE.NS
Benchmark,BSE500
Risk_Free_Rate,0.07
Data_Start,2007-09-18
Data_End,2026-03-06
Total_Trading_Days,4529
Rolling_1Y_Beta,1.0229
Information_Ratio_1Y,0.6334
Max_Drawdown_1Y_Stock,-0.1553
Max_Drawdown_3Y_Stock,-0.2718
Max_Drawdown_5Y_Stock,-0.2718
Days_to_Recovery_1Y_Stock,-1
Days_to_Recovery_3Y_Stock,205
Days_to_Recovery_5Y_Stock,205
Days_to_Recovery_1Y_Bench,-1
Days_to_Recovery_3Y_Bench,-1
Days_to_Recovery_5Y_Bench,-1
Avg_Drawdown_1Y_Stock,-0.0578
Avg_Drawdown_3Y_Stock,-0.0924
Avg_Drawdown_5Y_Stock,-0.0978
Pain_Ratio_1Y,3.0844
Pain_Ratio_3Y,1.135
Pain_Ratio_5Y,0.9834
Spread_Total_Days_1Y,246
Spread_Outperf_Days_1Y,121
Spread_Outperf_Pct_1Y,49.19
Spread_Total_Days_3Y,736
Spread_Outperf_Days_3Y,341
Spread_Outperf_Pct_3Y,46.33
Spread_Total_Days_5Y,1230
Spread_Outperf_Days_5Y,565
Spread_Outperf_Pct_5Y,45.93
Calmar_Ratio_1Y,1.0689
Sortino_Ratio_1Y,0.7215
